mjneen;dias hábiles
mjiini;trabajo
mjtisa;trabajador
mlxlnu;molino
msuu;por donde
msuupa;por donde quiera
msuuva;por donde quiera
mtee;dónde
mdee;a dónde
mteepa;en todas partes
mteeva;en toda partes
muçx;sordo
muçx yuu;volverse sordo
muçxi;volverse sordo
mukkhas;monjas
muhm;guardua
muse;arena
musx;menudo
musxka;persona blanca
musxklee;árbol de guarango
mutkwe;lulo
mutxi;mute
muç;montón
muçu;chupón
muvxihtx;mudarse
muvxihtxii;mudarse
muusej;desmenuzar
muuse'je;desmenuzar
muusxi'j;despedazar
muusxi'ji;despedazar
muuçu'j;amontonar
muuçu'ju;amontonar
muuwe'sx;guambianos
nakwe;tamaño
namiku;amigo
namikku yuu;ser amigos
naamu;dueño
naz;unos cuantos
nazkwé;tantos
nasa;persona nasa
nasa ikhni;homicidio
nasa ikhsa;homicida
nasa ji'ph;estar embarazada
nasa nwe'sx;familiar
nasa spakxsa;partera
nasa we'wesa;persona que habla nasa yuwe
nasa yuwe;idioma nasa
napa;pero
nava;pero
na';por consiguiente
na'wé;así
na'wéy;así mismo
naa;esta
naa;este
naa pa'ka;por eso
nasaa;solamente
nkaaka;tío paterno
nkakaté'j;suego
nkwéwyüu;nuera
nkumale;consuegra
mkubale;consuegro
nkuusa'j;despojar
nkusa'ja;despojar
nkuutxi'j;sacar sin permiso
nkuutxi'ji;sacar sin permiso
ngxi'k;hijo
ngxi'k npasa;hijastro
nduh;yerno
nenga;sal
nega'j;salar
nes;permanente
nes yuu;permanecer
neewa;detener
neewee;retener
ney;padre
ney npaasa;padrastro
ne'ka;entrar brevemente
ne'jwe'sx;gobernador
ne'sx;primogénito
ne'sxthé'j;primogénito
ne'ta;pegarnee;todavía
neekah;encargar
neekaha;encomendar
neeh;mayor
neejxüh;traer
neengxi'k;ahijado
neeney;padrino
neeney yuju;ser padrino
neenxisa;ahijada
neenxjíj;madrina
pnenxjíj;madrina y ahijada
neenxjíj yuju;ser madrina
neepez;abuela
neesu;contagiar
neeuu;sacar de la casa
neewuu;sacar de la casa
neevxisxa;rogar
neewe'we;encomendar
neewe'weni;encomienda
neewe'wesa;oficio de encomienda
neeyüu;quedarse
nikx;cosechar maiz
niki;cosechar maiz
nisx;pulpa
nisx kha'tx;cuero
nisx deh;entumirse
nivxçxaçx;persona que sirve a los padrinos
niimal;animal
niipethéh;contagiar
niipethéhe;perjudicar
niipethéhsa;contagioso
niisa;hija
niisa npaasa; hijastra
niisx; abuelo
njíj;madre
njíj npaasa;madrastra
njíjyükwe;tía materna
nmeh;último
nmehtewe'sx;último
nehwe'sx;menor
nmi;esposo
npaagx;robar
npaçxii;robar
npaa;igual que
npehkwe;herir a alguien
npe'sx;hermana
npefxnikx;ayudar a trastearse
npeefxniki;ayudar a trastearse
npeevxsxihka;burlarse
npewsxihka;reir a carcajadas
npi'ki;pareja en unión libre
Npiiçthéj;jefe
nsxihka;reirse de
nthé'jsa;mayor de edad
ntudx;beber
ntxi'nsa;cuñada
nçuun;nieto
nçuu'm;cuñado
nçhu'wa;cuñada
nçuuç;tía paterno
nuuyi;maltratar
nus;lluvia
nus jxab;hacer llover
nus pa'j;llover
nus pa'j een;invierno
nus pa'j tkh;diluvio
nus píi;escampar
nus kíh;llover
nus wejxa dxi'j;tormenta
nusuu;invierno
nuy ate;limpiar
nuy beh;quemar
nuy beje;quemar
nuy kase;aliviar
nuy katxhi;aliviar
nuy kathisa;médico
nuy káh;sacar
nuu káha;sacar
nuyçxháçxha'j;fortalecer
nuyçxhaçxha'ja;sanar
nukhéh;rebajar precio
nuykhéhe;bajar calidad
nuyküh;acercar
nuykühu;acercar
nuyçxhaçxha;fortalecer
nuy çxhi'dx;obscurecer
nuyçxi'dxi;obscurecer
nuy fxize;enfriar
nuyfxi'ze;pasar el día
nuy i'j;guiar
nuy i'jnsa;líder
nuy jxu'ja;alargar
nuy lahkx;aflojar
nuy laki;aflojar
nuy le'çx;achicar
nuy le'pxi;achicar
nuy pa'j;traer
nuypa'ja;traer
nuypehna;rendir
nuypeena;rendir
nuypesa'j;traer de otro lado
nuype'j;mantener
nuype'je;mantener
nuype'te;amanecer
nuypusuu;fermentar
nuykite;florecer
nuykitee;florecer
nuykíh;traer de arriba
nuykíha;traer de arriba
nuyséh;traer desde arriba
nuyséhe;traer desde arriba
nuytadx;llevar alrededor de
nuytadxi;llevar alrededor de
nuy tapee;ampliar
nuytehka;hacer subir
muythé'j;criar hijos
nuythé'je;criar hijos
nuy tuw;acortar
nuy tuwu;acortar
nuy utxa;acercar
nuy üuçxi;hacer disminuir
nuy vxitu;ultimar
nuy wala;ampliar
nuy walaa;ampliar
nuywejx;endurecer
nuyweejxi;endurecer
nuy we'we;calumniar
nuy zuuna';apretar
nuu; por favor
nuukx;pegarse
nuuki;pegarse
nuuçx;joven
nuuçxsa;el más joven
nu'wé;comer lo ajeno
nvxiht;separar algo
nvxitu;separar algo
nwe'sx;pariente
nwe'sx we ve;tratar como pariente
nwe'we;defender
nwe'wesa;defensor
nwéese'j;escuchar
nwése'je;escuchar
nwése'jmee;no escuchar
nwése'jsa;el que escucha
nyaakh;hermano
nyaafx;el primero
nyaafxtewe'sx;el primero
nyuu;esposa
nxaa;yuca
yáa;yuca
nxah;carne
nxaja;chuzar
nxadx;nevado
nxanxa;encía
nxawnxu;curuba
nxavxtu'k;culebra
nxeese;sensaciones del médico
nxika;sal
nnxinx;pepa
nxinx akh;cargar
nxinx;prenderse
nxinxi;prenderse
nxisx;carne
nxiisx;gordo
nxuukwe;tío paterno
nxuhne;sala
nxun;fruta
nxunu;dar fruto
nxuda;pajonal
nxuda alku;zorro
nxuhz;aguja
nxus;triste
nxusu;triste
nxus ji'phu;padecer
nxus knay;padecer
nxus pu'çxh;condolerse
nxusna üs;estar triste
nxuspa';agradable
nxussa;desgracia
nxus een;tiempo de desgracia
nxusxa;dulce
nxusxa jxpa'kasa;trapiche
nxusxa puuçsa;trapiche
nxusxa tel;trapice de mano
nxusxa'j;endulzar
nxusxa'ja;endulzar
nxutxh;moco
nxutxhi;moquear
nxuwé;cordón
nxu'px le'çxkwe;guatín
nxu'px wala;paca
